time,Aceleração (m/s²),"Ajuste de combustível % a curto 
prazo - Banco 1 (%)","Ajuste de combustível % a longo 
prazo - Banco 1 (%)",Altitude (GPS) (m),Distância percorrida (km),Distância percorrida (total) (km),Espaço livre no tanque de combustível (L),Fuel economizer (based on fuel system status and throttle position) (),Nível de combustível (%) (%),Nível de combustível (V) (L),Posição absoluta da borboleta de admissão B (%),Posição da borboleta de admissão (%),Posição do pedal do acelerador D (%),Posição do pedal do acelerador E (%),Posição relativa da borboleta de admissão (%),RPM do motor (rpm),RPM do motor x1000 (rpm),"Temperatura do líquido de 
arrefecimento do motor (℃)",Valor da carga calculada do motor (%),Velocidade (GPS) (km/h),Velocidade do veículo (km/h),Velocidade média (km/h),Velocidade média (GPS) (km/h),Voltagem do modulo OBD (V),Latitude,Longtitude,Unnamed: 27
19:18:06.910,,,,816.452206215787,,,,,,,,,,,,,,,,29.6331893920898,,,21.8841145223745,,-23.5340899376248,-46.8803884877562,
19:18:06.912,,,,,,,,,,,,,,,,,,,,29.6331893920898,,,21.8841445817404,,-23.5340899376248,-46.8803884877562,
19:18:06.913,,,,816.452206215787,,,,,,,,,,,,,,,,29.6331893920898,,,21.8841545696397,,-23.5340899376248,-46.8803884877562,
19:18:06.949,0.576292161131104,,,,3.70634758255555,38.7479481995833,,,,,,,,,,,,,,,31.0,24.8259626057884,,,-23.5340899376248,-46.8803884877562,
19:18:06.952,,,,812.409782450311,,,,,,,,,,,,,,,,29.6309234619141,,,21.8846802724216,,-23.5340899376248,-46.8803884877562,
19:18:07.138,,,,,,,,,,,,,,,,2035.0,2.0,,,,,,,,-23.5340899376248,-46.8803884877562,
19:18:07.337,,,,,,,,,,,,,27.0,,,,,,,,,,,,-23.5340899376248,-46.8803884877562,
19:18:07.540,,,,,,,,,,,,,,13.0,,,,,,,,,,,-23.5340899376248,-46.8803884877562,
19:18:07.730,,,,,,,,,,,,,,,,,,82.0,,,,,,,-23.5340899376248,-46.8803884877562,
19:18:07.900,,,,816.05178737377,,,,,,,,,,,,,,,,32.7430068969727,,,21.90278025856,,-23.5340113178512,-46.8804110394481,
19:18:07.918,,,,,,,40.0,,20.0,10.0,,,,,,,,,,,,,,,-23.5340113178512,-46.8804110394481,
19:18:07.919,,,,816.05178737377,,,,,,,,,,,,,,,,32.7430068969727,,,21.9031362053748,,-23.5340113178512,-46.8804110394481,
19:18:07.920,,,,816.05178737377,,,,,,,,,,,,,,,,32.7430068969727,,,21.9031605745201,,-23.5340113178512,-46.8804110394481,
19:18:07.950,,,,,,,,,,,,,,,,,,,,32.741805267334,,,21.9037422503594,,-23.5340113178512,-46.8804110394481,
19:18:07.951,,,,812.286616050297,,,,,,,,,,,,,,,,,,,,,-23.5340113178512,-46.8804110394481,
19:18:08.122,0.767548992633011,,,,3.7174305125,38.7590311295278,,,,,,,,,,,,,,,34.0,24.845945864952,,,-23.5340113178512,-46.8804110394481,
19:18:08.324,,,,,,,,,,,,,,,,2204.0,2.2,,,,,,,,-23.5340113178512,-46.8804110394481,
19:18:08.513,,,,,,,,,,,,,26.0,,,,,,,,,,,,-23.5340113178512,-46.8804110394481,
19:18:08.703,,,,,,,,,,,,,,12.0,,,,,,,,,,,-23.5340113178512,-46.8804110394481,
19:18:08.900,,,,,,,40.0,,20.0,10.0,,,,,,,,,,,,,,,-23.5340113178512,-46.8804110394481,
19:18:08.918,,,,815.549005330928,,,,,,,,,,,,,,,,34.813387298584,,,21.9256561520645,,-23.533927244786,-46.8804381308897,
